날짜,시작,시작시간,종료,종료시간,장소,원인,피해면적(ha),SIG_KOR_NM,경도,위도,피해면적평균
2019-05-06,13:44:00,2019-05-06 13:44,18:00:00,2019-05-06 18:00,경남 하동 범왕,입산자실화,0.05,경남 하동,127.7534306,35.06420278,5.1535
2019-04-23,10:55:00,2019-04-23 10:55,12:10:00,2019-04-23 12:10,경남 밀양 임천,기타,0.01,경남 밀양,128.7489444,35.50077778,28.37519
2019-04-16,17:01:00,2019-04-16 17:01,18:20:00,2019-04-16 18:20,경남 창녕 초곡,입산자실화,0.01,경남 창녕,128.4945333,35.54153611,0.652
2020-02-09,15:48:00,2020-02-09 15:48,16:45:00,2020-02-09 16:45,경남 진주 하곡,건축물화재비화,0.03,경남 진주,128.11,35.17703333,0.096875
2020-02-08,17:50:00,2020-02-08 17:50,18:30:00,2020-02-08 18:30,경남 산청 하정,농산부산물소각,0.01,경남 산청,127.8756194,35.41249167,0.393421
2020-02-06,15:32:00,2020-02-06 15:32,16:29:00,2020-02-06 16:29,경남 통영 금평,담뱃불실화,0.01,경남 통영,128.4352778,34.85125833,0.075455
2020-01-21,13:20:00,2020-01-21 13:20,14:46:00,2020-01-21 14:46,경남 밀양 고례,입산자실화,0.01,경남 밀양,128.7489444,35.50077778,28.37519
2020-03-19,19:49:00,2020-03-19 19:49,22:30:00,2020-03-19 22:30,경남 하동 궁항,담뱃불실화,0.01,경남 하동,127.7534306,35.06420278,5.1535
2020-03-19,16:30:00,2020-03-19 16:30,19:00:00,2020-03-19 19:00,경남 하동 전대,기타,0.02,경남 하동,127.7534306,35.06420278,5.1535
2020-03-19,11:05:00,2020-03-19 11:05,14:20:00,2020-03-19 14:20,경남 밀양 안인,입산자실화,0.5,경남 밀양,128.7489444,35.50077778,28.37519
2020-03-18,13:07:00,2020-03-18 13:07,16:00:00,2020-03-18 16:00,경남 하동 운수,건축물화재비화,0.02,경남 하동,127.7534306,35.06420278,5.1535
2020-03-17,12:55:00,2020-03-17 12:55,13:45:00,2020-03-17 13:45,경남 합천 안금,담뱃불실화,0.01,경남 합천,128.1679306,35.56361667,21.828
2019-01-24,5:27:00,2019-01-24 5:27,6:23:00,2019-01-24 6:23,경남 함양 호신,기타,0.01,경남 함양,127.7274194,35.51746944,0.612157
2019-01-16,21:15:00,2019-01-16 21:15,23:30:00,2019-01-16 23:30,경남 진주 반지,건축물화재비화,0.01,경남 진주,128.11,35.17703333,0.096875
2019-01-10,14:45:00,2019-01-10 14:45,18:00:00,2019-01-10 18:00,경남 합천 하판,입산자실화,0.4,경남 합천,128.1679306,35.56361667,21.828
2019-01-08,22:08:00,2019-01-08 22:08,23:20:00,2019-01-08 23:20,경남 진주 외율,쓰레기소각,0.01,경남 진주,128.11,35.17703333,0.096875
2019-01-06,0:30:00,2019-01-06 0:30,12:50:00,2019-01-06 12:50,경남 김해,입산자실화,1.5,경남 김해,128.8916667,35.22550556,0.324
2018-12-27,10:18:00,2018-12-27 10:18,11:30:00,2018-12-27 11:30,경남 진주 어옥,기타,0.01,경남 진주,128.11,35.17703333,0.096875
2018-12-22,11:45:00,2018-12-22 11:45,14:00:00,2018-12-22 14:00,경남 거제 옥림,입산자실화,0.01,경남 거제,128.6233556,34.87735833,0.062222
2018-11-26,11:49:00,2018-11-26 11:49,13:01:00,2018-11-26 13:01,경남 거제,입산자실화,0.01,경남 거제,128.6233556,34.87735833,0.062222
